Time,Temperature (°F) Max,Temperature (°F) Avg,Temperature (°F) Min,Dew Point (°F) Max,Dew Point (°F) Avg,Dew Point (°F) Min,Humidity (%) Max,Humidity (%) Avg,Humidity (%) Min,Wind Speed (mph) Max,Wind Speed (mph) Avg,Wind Speed (mph) Min,Pressure (in) Max,Pressure (in) Avg,Pressure (in) Min,Precipitation (in) Total
1,78,71.5,65,66,61.9,58,84,72.2,60,14,7.3,3,30.3,30.2,30.2,0.0
2,78,71.3,66,68,64.7,62,94,80.0,62,17,9.2,0,30.2,30.1,29.9,0.0
3,77,70.5,67,63,59.9,57,87,69.9,53,14,8.3,3,30.1,30.0,30.0,0.56
4,78,71.7,64,70,63.4,59,84,75.7,58,13,5.6,0,30.0,30.0,29.9,0.0
5,73,66.5,61,66,54.2,51,78,64.9,54,17,9.4,0,30.2,30.1,30.0,0.04
6,69,66.1,64,63,58.5,55,87,76.8,73,12,7.8,3,30.2,30.2,30.1,0.0
7,81,74.7,70,69,66.8,64,87,77.0,62,10,5.6,0,30.2,30.1,30.1,0.0
8,73,67.6,65,68,63.2,60,93,86.0,78,14,10.2,5,30.4,30.4,30.3,0.0
9,77,72.4,67,68,66.4,64,93,81.7,69,13,6.0,0,30.4,30.3,30.2,0.0
10,82,75.1,71,70,68.2,65,87,79.5,56,14,7.9,3,30.2,30.1,29.9,0.0
11,80,73.9,72,73,69.5,67,94,86.2,79,17,8.9,0,29.9,29.7,29.5,0.0
12,72,62.5,54,68,49.0,37,88,62.6,44,25,16.5,3,29.8,29.6,29.4,1.15
13,58,53.3,49,43,39.7,36,74,60.6,51,16,10.9,6,30.1,29.9,29.8,0.02
14,60,55.8,52,42,38.8,36,62,53.3,42,10,6.8,0,30.2,30.2,30.1,0.03
15,70,63.2,55,63,56.2,42,88,78.2,62,23,10.4,0,30.2,30.0,29.8,0.02
16,63,55.0,49,54,35.4,28,75,48.8,34,26,13.9,7,30.1,30.1,29.9,0.04
17,63,55.8,50,40,35.4,30,59,46.8,34,23,15.8,7,30.1,30.0,29.8,0.0
18,52,48.5,44,31,25.3,19,52,41.2,27,23,15.2,6,30.3,30.3,30.1,0.0
19,62,54.3,47,43,32.4,25,56,44.5,28,20,10.8,7,30.3,30.1,29.9,0.0
20,65,59.1,55,51,45.5,39,83,62.3,42,20,12.1,6,29.9,29.7,29.6,0.07
21,54,48.4,43,45,32.6,24,77,55.5,42,29,18.3,8,30.1,29.9,29.6,0.0
22,58,48.7,43,36,30.6,25,63,50.2,33,14,9.9,6,30.2,30.2,30.1,0.0
23,76,56.0,47,43,39.2,32,77,55.8,29,20,10.5,3,30.1,30.0,29.9,0.0
24,55,50.8,47,37,34.5,31,66,54.2,41,26,17.9,12,30.1,30.0,29.9,0.0
25,52,46.9,43,34,30.5,28,63,53.3,41,21,15.2,10,30.1,30.1,30.0,0.0
26,50,46.1,42,37,31.7,27,64,57.6,48,15,7.5,0,30.1,30.1,30.0,0.0
27,52,49.7,45,50,46.3,36,93,88.2,66,37,23.0,8,30.0,29.6,29.5,0.66
28,54,50.1,47,46,42.2,38,93,75.4,57,15,9.6,5,29.8,29.7,29.6,0.36
29,57,53.3,49,48,42.1,36,83,66.9,49,18,12.6,6,29.9,29.8,29.6,0.07
30,57,50.8,45,34,30.5,28,65,47.1,33,22,12.9,0,30.1,30.0,29.9,0.0
31,64,56.3,47,51,41.3,28,72,57.8,43,17,8.0,0,30.1,30.0,29.9,0.0
